Plant Type,SPDES Permit Number,Facility Name,Ground or Surface,Average Design Hydraulic Flow,Street,City,State,Country,Zip Code,Latitude,Longitude,Location 1,Georeference
Municipal,NY0282561,Tannersville Water Treatment Plant,Surface,0.02,191 Leach Dr,Hunter,NY,USA,,42.21,-74.15,"(42.21, -74.15)",POINT (-74.15 42.21)
Industrial,NY0282669,SCHAGHTICOKE VILLAGE WELL FIELD,Surface,,PLEASANT AVE,SCHAGHTICOKE,NY,USA,,42.90,-73.58,"(42.9, -73.58)",POINT (-73.58 42.9)
Industrial,NY0266787,Suffolk County Water Authority,Ground,0.09,ENTIRE WATER DISTRICT WIDE,SUFFOLK,NY,USA,,40.96,-72.26,"(40.96, -72.26)",POINT (-72.26 40.96)
Municipal,NY0021563,ULSTER SEWER DISTRICT SEWAGE TREATMENT PLANT,Surface,1.60,1101 DOGWOOD ST EXT,KINGSTON,NY,USA,12401,41.97,-74.01,"(41.97, -74.01)",POINT (-74.01 41.97)
Industrial,NY0071897,EFFRON FUEL OIL CORP TERMINAL,Surface,0.01,FOOT OF PROSPECT ST,POUGHKEEPSIE,NY,USA,12602,41.69,-73.94,"(41.69, -73.94)",POINT (-73.94 41.69)
Industrial,NY0265926,Saratoga County Water Treatment & Transmission Facility,Surface,1.00,"Treatment Plant: Potter & Butler Rds, Moreau|Water Main: Moreau-Malta",Moreau,NY,USA,,43.27,-73.74,"(43.27, -73.74)",POINT (-73.74 43.27)
Municipal,NY0107255,HONEOYE LAKE COUNTY CONSOLIDATED SEWER DISTRICT,Surface,,US RTE 20A,HONEOYE,NY,USA,14471,42.79,-77.51,"(42.79, -77.51)",POINT (-77.51 42.79)
Industrial,NY0063517,DUDLEY POULTRY CO,Ground,0.00,910 ST RTE 245,MIDDLESEX,NY,USA,14507,42.72,-77.27,"(42.72, -77.27)",POINT (-77.27 42.72)
Municipal,NY0030376,VILLAGE OF MALONE WASTE WATER TREATMENT PLANT,Surface,3.30,4 LANE ST,MALONE,NY,USA,12953,44.86,-74.30,"(44.86, -74.3)",POINT (-74.3 44.86)
Industrial,NY0243469,TONAWANDA TERMINAL,Surface,0.01,4545 RIVER RD,TOWN OF TONAWANDA,NY,USA,14150,43.00,-78.93,"(43.0, -78.93)",POINT (-78.93 43)
Municipal,NY0032972,CHELSEA COVE WASTE WATER TREATMENT PLANT,Surface,0.12,94 MILLER RD,HOPEWELL JUNCTION,NY,USA,12533,41.61,-73.75,"(41.61, -73.75)",POINT (-73.75 41.61)
Industrial,NY0157490,MIRABITO FUEL GROUP,Surface,0.01,13 CHERRY ST,GREENE,NY,USA,13778,42.33,-75.77,"(42.33, -75.77)",POINT (-75.77 42.33)
Industrial,NY0002101,LOCKHEED MARTIN - ELECTRONICS PARK,Surface,1.17,497 ELECTRONICS PKWY,LIVERPOOL,NY,USA,13088,43.11,-76.19,"(43.11, -76.19)",POINT (-76.19 43.11)
Industrial,NY0007650,149TH ST TERMINAL (FORMER BUCKEYE TERMINALS LLC - BRONX TERMINAL),Surface,0.02,1040 E 149TH ST,BRONX,NY,USA,10455,40.80,-73.90,"(40.8, -73.9)",POINT (-73.9 40.8)
Industrial,NY0225916,LIDO BLVD WELL FIELD,Surface,,"LIDO BLVD (PART OF LIDO BEACH TOWN PARK PROPERTY)|NCTM SEC 60, BLK 91, BLK 2",LIDO BEACH,NY,USA,11561,40.59,-73.62,"(40.59, -73.62)",POINT (-73.62 40.59)
Industrial,NY0157252,VESTAL TERMINAL,Surface,,3121 SHIPPER RD,VESTAL,NY,USA,13850,42.10,-76.00,"(42.1, -76.0)",POINT (-76 42.1)
Industrial,NY0281271,PEACH LAKE,Surface,,LAKESHORE & LAKESIDE DRS,NORTH SALEM,NY,USA,,41.36,-73.58,"(41.36, -73.58)",POINT (-73.58 41.36)
Industrial,NY0248304,GEORGE M TAYLOR & SON,Surface,,ST RTE 343,DOVER PLAINS,NY,USA,12501,41.75,-73.59,"(41.75, -73.59)",POINT (-73.59 41.75)
Industrial,NY0256536,VILLAGE OF SARANAC LAKE - 3 MAIN ST BUILDING,Surface,,3 MAIN ST,SARANAC LAKE,NY,USA,12983,44.32,-74.13,"(44.32, -74.13)",POINT (-74.13 44.32)
Industrial,NY0228478,"HEMLOCK LAKE - SHORELINE, OUTLET, DAM & COMPLEX",Surface,1.95,ROCHESTER-C ROW FROM HEMLOCK LAKE TO CITY,LIVINGSTON & MONROE CO,NY,USA,,42.78,-77.61,"(42.78, -77.61)",POINT (-77.61 42.78)
Industrial,NY0005347,GLOBAL COMPANIES - SOUTH TERMINAL,Surface,0.15,49 RIVER RD,NEW WINDSOR,NY,USA,12550,41.48,-74.01,"(41.48, -74.01)",POINT (-74.01 41.48)
Industrial,NY0226661,UNITED STATES MERCHANT MARINE ACADEMY,Surface,0.06,300 STEAMBOAT RD|1-B-135-100-104-105-109,KINGS POINT,NY,USA,11024,40.81,-73.76,"(40.81, -73.76)",POINT (-73.76 40.81)
Municipal,NY0262749,VESTAL EMERGENCY SEWER OVERFLOWS,Surface,,"702 VESTAL PKWY E, 2400 VESTAL RD, 2014 VESTAL RD, 1801 VESTAL PKWY E & 1300 CAMPUS DR",VESTAL,NY,USA,13850,42.10,-76.02,"(42.1, -76.02)",POINT (-76.02 42.1)
Municipal,NY0107654,PARISH - V STP,Surface,0.14,RED MILL RD,PARISH,NY,USA,13131,43.42,-76.13,"(43.42, -76.13)",POINT (-76.13 43.42)
Industrial,NY0001490,Omega Wire Inc. - Plant 1,Surface,1.37,12 MASONIC AVE,CAMDEN,NY,USA,13316,43.34,-75.75,"(43.34, -75.75)",POINT (-75.75 43.34)
Industrial,NY0205524,NYS DOT PETERSBURG RES ENGRS SUBHDQRTS,Surface,0.00,ST RTE 22,PETERSBURG,NY,USA,12138,42.81,-73.33,"(42.81, -73.33)",POINT (-73.33 42.81)
Industrial,NY0260053,HWY MAINTENANCE SUBHQTRS,Surface,0.00,CO RTE 175 AT ST RTE 17,LIBERTY,NY,USA,12754,41.78,-74.73,"(41.78, -74.73)",POINT (-74.73 41.78)
Industrial,NY0282499,CAMP PONTIAC,Ground,0.04,2026 CO RTE 7,Copake,NY,USA,12502,42.08,-73.59,"(42.08, -73.59)",POINT (-73.59 42.08)
Municipal,NY0024520,SOUTH FALLSBURG WWTP,Surface,3.26,ST RTE 42 - E SIDE - N OF WILLOW HEIGHTS RD,SOUTH FALLSBURG,NY,USA,12779,41.72,-74.62,"(41.72, -74.62)",POINT (-74.62 41.72)
Industrial,NY0267805,CEDAR STREET SUBSTATION,Surface,,CEDAR ST & CROSS ST,NEW ROCHELLE,NY,USA,10801,40.92,-73.78,"(40.92, -73.78)",POINT (-73.78 40.92)
Municipal,NY0271934,WOODHULL -T WASTE WATER TREATMENT PLANT,Surface,,WASHINGTON ST - E SIDE|N OF CO RTE 129,WOODHULL,NY,USA,,42.08,-77.41,"(42.08, -77.41)",POINT (-77.41 42.08)
Municipal,NY0265853,HAMLET OF INLET WWTF,Surface,0.02,FERN PARK|5TH LAKE OUTLET CHANNEL,INLET,NY,USA,13360,43.75,-74.80,"(43.75, -74.8)",POINT (-74.8 43.75)
Industrial,NY0233251,EAST SYRACUSE BIOLOGICS MANUFACTURING FACILITY,Surface,0.10,3551 BURNET AVE,SYRACUSE,NY,USA,13221,43.07,-76.09,"(43.07, -76.09)",POINT (-76.09 43.07)
Industrial,NY0007161,COTTRELL PAPER COMPANY INC,Surface,0.40,1135 ROCK CITY RD,ROCK CITY FALLS,NY,USA,12863,43.06,-73.92,"(43.06, -73.92)",POINT (-73.92 43.06)
Industrial,NY0104701,METALLIZED CARBON CORPORATION,Surface,0.00,19 S WATER ST,OSSINING,NY,USA,10562,41.16,-73.87,"(41.16, -73.87)",POINT (-73.87 41.16)
Industrial,NY0121860,OMEGA WIRE INC (at Harden Blvd),Surface,0.50,29 HARDEN BLVD,CAMDEN,NY,USA,13316,43.33,-75.75,"(43.33, -75.75)",POINT (-75.75 43.33)
Industrial,NY0211532,TONY'S TUBS LAUNDROMAT,Ground,0.01,218 WEST MONTAUK HWY|SCTM # 900-221-2-14,HAMPTON BAYS,NY,USA,11946,40.87,-72.54,"(40.87, -72.54)",POINT (-72.54 40.87)
Municipal,NY0021547,VILLAGE OF GRANVILLE WWTP,Surface,0.65,90 METTAWEE ST,GRANVILLE,NY,USA,12832,43.41,-73.27,"(43.41, -73.27)",POINT (-73.27 43.41)
Industrial,NY0237493,GLO N GO SELF SERVICE CAR WASH,Ground,,1849 5TH AVE,BRENTWOOD,NY,USA,11717,40.78,-73.26,"(40.78, -73.26)",POINT (-73.26 40.78)
Industrial,NY0276642,"NYC DEP - SHAFT 26B, CITY TUNNEL #3",Surface,,30TH ST AND 10TH AVE,NEW YORK,NY,USA,11368,40.75,-74.00,"(40.75, -74.0)",POINT (-74 40.75)
Industrial,NY0007641,BAYSIDE FUEL OIL DEPOT-1100 GRAND ST,Surface,0.00,1100 GRAND ST,BROOKLYN,NY,USA,11211,40.71,-73.93,"(40.71, -73.93)",POINT (-73.93 40.71)
Municipal,NY0029769,CHAUTAUQUA UTILITY DIST STP,Surface,0.84,99 S LAKE DR,CHAUTAUQUA,NY,USA,14722,42.20,-79.46,"(42.2, -79.46)",POINT (-79.46 42.2)
Industrial,NY0228877,BATAVIA BULK PLANT,Surface,0.02,8412 SEVEN SPRINGS RD,BATAVIA,NY,USA,14020,43.01,-78.13,"(43.01, -78.13)",POINT (-78.13 43.01)
Industrial,NY0276499,FRESH KILLS PARK,Surface,,FRESH KILLS LANDFILL SITE,STATEN ISLAND,NY,USA,10314,40.57,-74.20,"(40.57, -74.2)",POINT (-74.2 40.57)
Industrial,NY0183661,ADIRONDACK LAKE FIELD SURVEY,Ground,0.00,1115 ST RTE 86,RAY BROOK,NY,USA,12977,44.30,-74.08,"(44.3, -74.08)",POINT (-74.08 44.3)
Industrial,NY0261734,FULTON BOILER WORKS,Surface,0.00,3981 PORT & JEFFERSON STS,PULASKI,NY,USA,13142,43.56,-76.13,"(43.56, -76.13)",POINT (-76.13 43.56)
Municipal,NY0028461,WATERVILLE STP,Surface,0.30,ST RTE 315 - 0.95 MI NW OF ST RTE 12,WATERVILLE,NY,USA,13480,42.94,-75.39,"(42.94, -75.39)",POINT (-75.39 42.94)
Municipal,NY0022403,LITTLE FALLS WASTEWATER TREATMENT PLANT,Surface,7.00,223 RIVER RD E,LITTLE FALLS,NY,USA,13365,43.04,-74.84,"(43.04, -74.84)",POINT (-74.84 43.04)
Industrial,NY0110485,ROYAL METAL PRODUCTS,Surface,,463 WEST RD,SURPRISE,NY,USA,12176,42.39,-73.99,"(42.39, -73.99)",POINT (-73.99 42.39)
Industrial,NY0260509,BREWERY OMMEGANG,Both,0.04,656 CO RTE 33,MIDDLEFIELD,NY,USA,,42.63,-74.94,"(42.63, -74.94)",POINT (-74.94 42.63)
Municipal,NY0034436,HIDDEN VALLEY ESTATES - SD NO 1 STP,Surface,0.06,30 HEATHER LN,OTISVILLE,NY,USA,10963,41.44,-74.56,"(41.44, -74.56)",POINT (-74.56 41.44)
Industrial,NY0235733,MID-STATE CORRECTIONAL FACILITY,Surface,,9005 OLD RIVER RD/BIGELOW DRIVE,MARCY,NY,USA,13403,43.17,-75.30,"(43.17, -75.3)",POINT (-75.3 43.17)
Industrial,NY0003441,COOPER POWER SYSTEMS,Surface,0.00,1648 DUGAN RD,OLEAN,NY,USA,14760,42.07,-78.39,"(42.07, -78.39)",POINT (-78.39 42.07)
Industrial,NY0104434,DAVIS BROS MEAT,Ground,0.00,4521 CO RT 4,OSWEGO,NY,USA,13126,43.45,-76.47,"(43.45, -76.47)",POINT (-76.47 43.45)
Industrial,NY0272027,THREE BROTHERS WINERIES AND ESTATES,Ground,,623 LERCH RD,GENEVA,NY,USA,,42.82,-76.92,"(42.82, -76.92)",POINT (-76.92 42.82)
Industrial,NY0202215,WHEELABRATOR HUDSON FALLS,Surface,,93 RIVER ST,HUDSON FALLS,NY,USA,12839,43.31,-73.59,"(43.31, -73.59)",POINT (-73.59 43.31)
Industrial,NY0110167,FILTRATION PLANT,Surface,0.10,NORBORO RD BY RICE RESERVOIR,GLOVERSVILLE,NY,USA,12078,43.09,-74.33,"(43.09, -74.33)",POINT (-74.33 43.09)
Industrial,NY0258644,NOCO ENERGY CORP - AKRON,Surface,,13613 MAIN ST,AKRON,NY,USA,14001,43.00,-78.48,"(43.0, -78.48)",POINT (-78.48 43)
Industrial,NY0248967,NORTH CREEK LAUNDROMAT,Ground,0.01,BRIDGE ST - 0.25 MI E OF ST RTE 28,NORTH CREEK,NY,USA,12853,43.70,-73.98,"(43.7, -73.98)",POINT (-73.98 43.7)
Industrial,NY0225282,BROOKHAVEN COMBUSTION TURBINE,Ground,0.00,N COUNTRY RD|SCTM #200-39-1-1,WADING RIVER,NY,USA,11792,40.96,-72.88,"(40.96, -72.88)",POINT (-72.88 40.96)
Industrial,NY0200484,CLEAN WATER OF NEW YORK WASTE OIL REPROCESSING AND STORAGE FACILITY,Surface,0.04,3249 RICHMOND TER,STATEN ISLAND,NY,USA,10303,40.64,-74.17,"(40.64, -74.17)",POINT (-74.17 40.64)
Industrial,NY0272582,JOCOSA LLC WASTE OIL RECYCLING FACILITY,Surface,,1141 RIVER RD,NEW WINDSOR,NY,USA,12553,41.48,-74.01,"(41.48, -74.01)",POINT (-74.01 41.48)
Industrial,NY0259551,PRESTIGE AUTOBODY,Ground,0.00,729 DUTCHESS TPKE,POUGHKEEPSIE,NY,USA,12603,41.70,-73.88,"(41.7, -73.88)",POINT (-73.88 41.7)
Municipal,NY0022187,LAKE PLACID WPCP,Surface,2.50,153 Powerhouse Ln,Lake Placid,NY,USA,12946,44.27,-73.97,"(44.27, -73.97)",POINT (-73.97 44.27)
Industrial,NY0242951,CHESTER-JENSEN COMPANY,Surface,0.00,124 MAIN ST,CATTARAUGUS,NY,USA,14719,42.33,-78.87,"(42.33, -78.87)",POINT (-78.87 42.33)
Municipal,NY0029149,WAWAYANDA ROBINN MEADOWS SEWER DIS,Surface,0.08,ROBINN DR OFF POCATELLO RD,SLATE HILL,NY,USA,10973,41.42,-74.49,"(41.42, -74.49)",POINT (-74.49 41.42)
Municipal,NY0035645,EMERALD GREEN-LAKE LOUISE MARIE S&W DIST,Surface,0.41,LAKE LOUISE MARIE RD,THOMPSON,NY,USA,12742,41.62,-74.59,"(41.62, -74.59)",POINT (-74.59 41.62)
Industrial,NY0104671,PLAZA LAUNDROMAT,Ground,0.01,295 SECOND AVE,BRENTWOOD,NY,USA,11717,40.78,-73.23,"(40.78, -73.23)",POINT (-73.23 40.78)
Industrial,NY0244872,TESSY PLASTICS - ELBRIDGE CAMPUS,Surface,,488 ST RTE 5 W|1300' W OF HAMILTON RD,ELBRIDGE,NY,USA,13021,43.03,-76.47,"(43.03, -76.47)",POINT (-76.47 43.03)
Industrial,NY0300004,CITY OF SYRACUSE DEPT OF ENG/WATER DIV,Ground,,20 W GENESEE ST|SKANEATELES LAKE,SKANEATELES,NY,USA,13152,42.95,-76.43,"(42.95, -76.43)",POINT (-76.43 42.95)
Industrial,NY0268313,MOHAWK INNOVATIVE TECHNOLOGY INC,Surface,,1037 WATERVLIET-SHAKER RD,COLONIE,NY,USA,,42.74,-73.84,"(42.74, -73.84)",POINT (-73.84 42.74)
Industrial,NY0000779,LAPP INSULATORS LLC,Surface,0.35,130 GILBERT ST,LEROY,NY,USA,14482,42.97,-78.01,"(42.97, -78.01)",POINT (-78.01 42.97)
Municipal,NY0021601,WAPPINGERS FLEETWOOD MANOR SEWER DIS,Surface,0.06,FLEETWOOD DR - W END,WAPPINGERS FALLS,NY,USA,12590,41.56,-73.92,"(41.56, -73.92)",POINT (-73.92 41.56)
Municipal,NY0031569,MARION - T STP,Surface,0.13,4243 SMITH RD,MARION,NY,USA,14505,43.13,-77.18,"(43.13, -77.18)",POINT (-77.18 43.13)
Industrial,NY0203874,FREDONIA WATER FILTRATION PLANT,Surface,0.05,SPODEN RD & NY RT 60,FREDONIA,NY,USA,14048,42.40,-79.31,"(42.4, -79.31)",POINT (-79.31 42.4)
Industrial,NY0257575,DOT MAINTENANCE BUILDING,Surface,0.00,ST RTE 178 @ I-81 - EXIT 41,ADAMS,NY,USA,13606,43.81,-76.04,"(43.81, -76.04)",POINT (-76.04 43.81)
Industrial,NY0202479,CHESTERTOWN HWY MAINTENANCE FAC,Surface,0.00,RTE 8,CHESTERTOWN,NY,USA,12817,43.67,-73.78,"(43.67, -73.78)",POINT (-73.78 43.67)
Industrial,NY0257630,GOUVERNEUR - V WATER FILTRATION PLANT,Surface,0.01,260 GROVE ST,GOUVERNEUR,NY,USA,13642,44.33,-75.46,"(44.33, -75.46)",POINT (-75.46 44.33)
Industrial,NY0204005,PERRYS ICE CREAM,Surface,0.90,1 ICE CREAM PLZ,AKRON,NY,USA,14001,43.03,-78.50,"(43.03, -78.5)",POINT (-78.5 43.03)
Industrial,NY0156671,GREATER BINGHAMTON AIRPORT,Surface,0.03,2534 AIRPORT RD|ADJACENT TO COMMERCIAL DR,JOHNSON CITY,NY,USA,13902,42.21,-75.98,"(42.21, -75.98)",POINT (-75.98 42.21)
Industrial,NY0003867,GMMM JENNISON LLC,Surface,65.34,BAINBRIDGE AFTON RD (ST RTE 7) - E SIDE,BAINBRIDGE,NY,USA,13733,42.28,-75.48,"(42.28, -75.48)",POINT (-75.48 42.28)
Industrial,NY0100820,AGRI-MARK INC - CHATEAUGAY PLANT,Surface,0.17,39 MCCADAM LN,CHATEAUGAY,NY,USA,12920,44.92,-74.07,"(44.92, -74.07)",POINT (-74.07 44.92)
Industrial,NY0245097,REMINGTON STEAM PLANT,Surface,,11 REMINGTON AVE,ILION,NY,USA,13357,43.01,-75.03,"(43.01, -75.03)",POINT (-75.03 43.01)
Municipal,NY0093637,STILLWATER STP,Surface,0.55,RUNDLE LN,STILLWATER,NY,USA,12170,42.94,-73.65,"(42.94, -73.65)",POINT (-73.65 42.94)
Industrial,NY0263044,TOWN OF MORRIS HWY GARAGE,Surface,,LAKE ST AT MILL ST,MORRIS,NY,USA,13808,42.55,-75.24,"(42.55, -75.24)",POINT (-75.24 42.55)
Industrial,NY0261289,BOVINA WATER DISTRICT NO 1,Ground,0.01,MAIN ST & COULTER BROOK RD,BOVINA CENTER,NY,USA,13740,42.26,-74.77,"(42.26, -74.77)",POINT (-74.77 42.26)
Municipal,NY0110353,BREWSTER HEIGHTS WWTP,Surface,0.15,70 PUTNAM AVE,BREWSTER,NY,USA,10509,41.40,-73.62,"(41.4, -73.62)",POINT (-73.62 41.4)
Municipal,NY0027146,HEUVELTON WATER POLL CTRL PLANT,Surface,0.45,101 HORSESHOE RD,HEUVELTON,NY,USA,13654,44.61,-75.41,"(44.61, -75.41)",POINT (-75.41 44.61)
Industrial,NY0201375,NYC DEP-JAMAICA WATER SUPPLY WELLS,Surface,0.00,"BOUNDED BY I-678, ST RTE 878, GRAND CENTRAL PKWY & CITY LINE",QUEENS,NY,USA,,40.65,-73.75,"(40.65, -73.75)",POINT (-73.75 40.65)
Municipal,NY0021873,MEDINA WASTEWATER TREATMENT PLANT,Surface,4.50,200 GULF ST |WESTWARD TO N GRAVEL RD,MEDINA,NY,USA,14103,43.23,-78.39,"(43.23, -78.39)",POINT (-78.39 43.23)
Industrial,NY0274666,WEST POINT TRANSPORTATION MOTOR POOL IWTP,Surface,0.00,0.2 MI NE OF PATTON RD & RTE 293,HIGHLAND FALLS,NY,USA,10928,41.35,-74.05,"(41.35, -74.05)",POINT (-74.05 41.35)
Industrial,NY0226971,"SCSD #24, GABBRESKI AIRPORT STP",Ground,0.10,CO RTE 31,WESTHAMPTON BEACH,NY,USA,11978,40.84,-72.63,"(40.84, -72.63)",POINT (-72.63 40.84)
Industrial,NY0207080,MCCAULEY MT SKI AREA,Surface,0.39,300 McCauley Rd,Webb,NY,USA,13420,43.69,-74.98,"(43.69, -74.98)",POINT (-74.98 43.69)
Industrial,NY0002232,"B&B Lumber Company, Inc.",Surface,0.04,8550 MILL POND WAY,MCCONNELLSVILLE,NY,USA,13401,43.28,-75.69,"(43.28, -75.69)",POINT (-75.69 43.28)
Industrial,NY0087084,CORNING MUSEUM OF GLASS,Ground,0.07,ONE MUSEUM WAY,CORNING,NY,USA,14830,42.15,-77.05,"(42.15, -77.05)",POINT (-77.05 42.15)
Municipal,NY0217760,WADHAMS SEWER DISTRICT WWTF,Surface,0.02,834 ST RTE 22,WADHAMS,NY,USA,12993,44.23,-73.46,"(44.23, -73.46)",POINT (-73.46 44.23)
Industrial,NY0104698,TOWN & COUNTRY LAUNDROMAT,Ground,0.01,717 SUFFOLK AVE,BRENTWOOD,NY,USA,11717,40.78,-73.25,"(40.78, -73.25)",POINT (-73.25 40.78)
Municipal,NY0024333,ST JOHNSVILLE - V STP,Surface,2.00,MARINA DR,ST JOHNSVILLE,NY,USA,13452,42.99,-74.68,"(42.99, -74.68)",POINT (-74.68 42.99)
Municipal,NY0027979,NIAGARA COUNTY SEWER DISTRICT #1 WWTP,Surface,14.08,7346 LIBERTY DR,NIAGARA FALLS,NY,USA,14304,43.07,-78.92,"(43.07, -78.92)",POINT (-78.92 43.07)
Industrial,NY0264024,WOODBINE YARD,Surface,,UNION/MAPLE/HOYT STS,SPRING VALLEY,NY,USA,10977,41.12,-74.05,"(41.12, -74.05)",POINT (-74.05 41.12)
Industrial,NY0261947,METALICO ALUMINUM RECOVERY INC,Surface,,6223 THOMPSON RD,EAST SYRACUSE,NY,USA,13206,43.07,-76.09,"(43.07, -76.09)",POINT (-76.09 43.07)
Municipal,NY0110019,CRAWFORD PINE BUSH STP,Surface,0.30,HARDENBURGH RD AT SHAWANGUNK KILL,PINE BUSH,NY,USA,12566,41.62,-74.30,"(41.62, -74.3)",POINT (-74.3 41.62)
Industrial,NY0261076,POTIC RESERVOIR WTP,Surface,0.25,89 POTIC CREEK RD,EARLTON,NY,USA,12058,42.33,-73.91,"(42.33, -73.91)",POINT (-73.91 42.33)
Municipal,NY0026484,VILLAGE OF SPECULATOR WWTP,Surface,0.30,120 BLACK BEAR RUN|ST RTE 30 - N SIDE - E OF RIVER,SPECULATOR,NY,USA,12164,43.50,-74.36,"(43.5, -74.36)",POINT (-74.36 43.5)
Industrial,NY0025623,OWASCO - T WTR DIST,Surface,0.00,E LAKE RD,AUBURN,NY,USA,13021,42.88,-76.52,"(42.88, -76.52)",POINT (-76.52 42.88)
Municipal,NY0062570,BLACKBERRY HILL SANITARY SD STP,Surface,0.07,SCOTT PL & NOEL CT,BREWSTER,NY,USA,10509,41.41,-73.61,"(41.41, -73.61)",POINT (-73.61 41.41)
Industrial,NY0280062,Yaphank Fuel Cell Park,Ground,0.03,350 Horseblock Rd,Yaphank,NY,USA,11980,40.79,-72.93,"(40.79, -72.93)",POINT (-72.93 40.79)
Industrial,NY0026158,BOWERY BAY WASTEWATER RESOURCE RECOVERY FACILITY,Surface,150.00,43-10 BERRIAN BLVD,ASTORIA,NY,USA,11105,40.78,-73.89,"(40.78, -73.89)",POINT (-73.89 40.78)
Industrial,NY0251488,WESTMORE FUEL CO,Surface,,FOOT PURDY ST,PORT CHESTER,NY,USA,10573,41.00,-73.66,"(41.0, -73.66)",POINT (-73.66 41)
Industrial,NY0261637,HOWLETT HILL FIRE STATION,Surface,0.00,3384 HOWLETT HILL RD,SYRACUSE,NY,USA,13215,43.02,-76.27,"(43.02, -76.27)",POINT (-76.27 43.02)
Industrial,NY0226921,Suffolk County Water Authority,Ground,0.09,ENTIRE WATER DISTRICT WIDE,SUFFOLK,NY,USA,,40.96,-72.26,"(40.96, -72.26)",POINT (-72.26 40.96)
Industrial,NY0208752,LUCKY MAIN LAUNDROMAT INC,Ground,0.02,387 E MAIN ST,PATCHOGUE,NY,USA,11772,40.77,-73.00,"(40.77, -73.0)",POINT (-73 40.77)
Industrial,NY0006807,HOLLINGSWORTH & VOSE-EASTON MILL,Both,3.20,3235 CO RTE 113,GREENWICH,NY,USA,12834,43.11,-73.57,"(43.11, -73.57)",POINT (-73.57 43.11)
Industrial,NY0124028,WADE TOURS INC,Ground,0.00,797 BURDECK ST,SCHENECTADY,NY,USA,12306,42.80,-74.00,"(42.8, -74.0)",POINT (-74 42.8)
Industrial,NY0004600,PEARL RIVER CAMPUS LLC,Surface,2.80,401 N MIDDLETOWN RD,PEARL RIVER,NY,USA,10965,41.08,-74.02,"(41.08, -74.02)",POINT (-74.02 41.08)
Industrial,NY0005665,REVERE COPPER PRODUCTS INC,Surface,6.42,ONE REVERE PARK,ROME,NY,USA,13440,43.21,-75.44,"(43.21, -75.44)",POINT (-75.44 43.21)
Municipal,NY0240770,SEWAGE SYSTEM HAMLET OF RENSSELAERVILLE,Ground,0.02,MAIN ST,RENSSELAERVILLE,NY,USA,12120,42.51,-74.13,"(42.51, -74.13)",POINT (-74.13 42.51)
Municipal,NY0020907,ELBA - V STP,Surface,0.08,MECHANIC ST,ELBA,NY,USA,14058,43.09,-78.19,"(43.09, -78.19)",POINT (-78.19 43.09)
Municipal,NY0023507,BROCTON SEWAGE TREATMENT PLANT,Surface,0.66,LAKE AVE,BROCTON,NY,USA,14716,42.40,-79.44,"(42.4, -79.44)",POINT (-79.44 42.4)
Industrial,NY0023566,TOWN OF SENECA FALLS WATER WITHDRAWAL SYSTEM,Surface,0.03,"PARKER RD WTP IN FAYETTE, SERVICE AREA IN SENECA FALLS & PORTIONS OF WATERLOO AND FAYETTE",MULTI-TOWN,NY,USA,,42.85,-76.74,"(42.85, -76.74)",POINT (-76.74 42.85)
Municipal,NY0026042,GLOVERSVILLE-JOHNSTOWN JOINT WWTP,Surface,10.20,191 UNION AVE,JOHNSTOWN,NY,USA,12095,42.99,-74.40,"(42.99, -74.4)",POINT (-74.4 42.99)
Industrial,NY0000469,TEXTRON INC - WHEATFIELD,Surface,0.20,2221 NIAGARA FALLS BLVD,WHEATFIELD,NY,USA,14304,43.10,-78.93,"(43.1, -78.93)",POINT (-78.93 43.1)
Industrial,NY0227072,Suffolk County Water Authority,Ground,0.09,ENTIRE WATER DISTRICT WIDE,SUFFOLK,NY,USA,,40.96,-72.26,"(40.96, -72.26)",POINT (-72.26 40.96)
Municipal,NY0031194,MASSENA WASTEWATER TREATMENT PLANT,Surface,4.80,302 E ORVIS ST,MASSENA,NY,USA,13662,44.94,-74.87,"(44.94, -74.87)",POINT (-74.87 44.94)
Industrial,NY0215309,QUEENSBORO WATER TREATMENT PLANT,Surface,0.01,PALISADES PKWY EXIT 19,HIGHLANDS,NY,USA,10911,41.31,-74.03,"(41.31, -74.03)",POINT (-74.03 41.31)
Industrial,NY0227251,EAGER BEAVER CAR WASH,,,4935 NESCONSET HWY,PORT JEFFERSON STATION,NY,USA,11776,40.92,-73.05,"(40.92, -73.05)",POINT (-73.05 40.92)
Industrial,NY0023621,SUNOCO TONAWANDA TERMINAL,Surface,0.01,3733 RIVER RD,TONAWANDA,NY,USA,14150,42.98,-78.93,"(42.98, -78.93)",POINT (-78.93 42.98)
Industrial,NY0248002,LAKELAND MERIT ARMSTRONG INC,Surface,,569 N MAIN ST,BREWSTER,NY,USA,10509,41.40,-73.62,"(41.4, -73.62)",POINT (-73.62 41.4)
Municipal,NY0080667,SCSD #23  - COVENTRY MANOR STP,Ground,0.07,2 SHORT ST,MIDDLE ISLAND,NY,USA,11953,40.89,-72.93,"(40.89, -72.93)",POINT (-72.93 40.89)
Industrial,NY0068781,SKF AEROENGINE NORTH AMERICA,Surface,0.25,ONE MAROCO RD,FALCONER,NY,USA,14733,42.12,-79.18,"(42.12, -79.18)",POINT (-79.18 42.12)
