Plant Type,SPDES Permit Number,Facility Name,Ground or Surface,Average Design Hydraulic Flow,Street,City,State,Country,Zip Code,Latitude,Longitude,Location 1,Georeference
Industrial,NY0021695,KYNDRYL INC - STERLING FOREST,Surface,1.36,300 LONG MEADOW RD,STERLING FOREST,NY,USA,10979,41.17,-74.26,"(41.17, -74.26)",POINT (-74.26 41.17)
Industrial,NY0246468,REGION 4 MAINTAINENCE SUBHDQTRS,Surface,0.00,198 E MANITOU RD,HILTON,NY,USA,14468,43.30,-77.72,"(43.3, -77.72)",POINT (-77.72 43.3)
Industrial,NY0248282,RED WING SAND & GRAVEL - BILLINGS MINE SITE,Surface,0.00,2296-2332 ST RTE 82,BILLINGS,NY,USA,12510,41.67,-73.76,"(41.67, -73.76)",POINT (-73.76 41.67)
Industrial,NY0226297,BURTON INDUSTRIES,Ground,0.01,243 WYANDANCH AVE,WYANDANCH,NY,USA,11798,40.73,-73.35,"(40.73, -73.35)",POINT (-73.35 40.73)
Municipal,NY0034771,VILLAGE OF ADAMS WWTF,Surface,0.45,63 LIBERTY ST,ADAMS,NY,USA,13605,43.81,-76.03,"(43.81, -76.03)",POINT (-76.03 43.81)
Industrial,NY0256285,TOWN OF CHAZY HIGHWAY DEPARTMENT GARAGE,Ground,,MINER FARM RD - � MI W OF EXIT 41 OF I-87,CHAZY,NY,USA,12921,44.89,-73.46,"(44.89, -73.46)",POINT (-73.46 44.89)
Industrial,NY0003255,HEIDELBERG MATERIALS - SODUS PIT,Surface,0.19,7211 QUARRY RD,SODUS,NY,USA,14551,43.18,-77.04,"(43.18, -77.04)",POINT (-77.04 43.18)
Municipal,NY0027014,SACKETS HARBOR STP,Surface,0.60,HILL ST,SACKETS HARBOR,NY,USA,13685,43.95,-76.13,"(43.95, -76.13)",POINT (-76.13 43.95)
Municipal,NY0020664,PHOENIX - V STP,Surface,0.60,NORTH ST,PHOENIX,NY,USA,13135,43.23,-76.31,"(43.23, -76.31)",POINT (-76.31 43.23)
Industrial,NY0162469,NYSDOT RESIDENT ENGINEER'S HEADQUARTERS - SODUS,Surface,0.00,142 ST RTE 31 E,SODUS,NY,USA,14551,43.23,-77.04,"(43.23, -77.04)",POINT (-77.04 43.23)
Industrial,NY0001198,OCCIDENTAL DUREZ DIVISION WALCK RD PLANT,Surface,0.60,673 WALCK RD,NORTH TONAWANDA,NY,USA,14120,43.05,-78.86,"(43.05, -78.86)",POINT (-78.86 43.05)
Municipal,NY0026948,ARCADE STP,Surface,0.50,HURDVILLE RD,ARCADE,NY,USA,14009,42.54,-78.46,"(42.54, -78.46)",POINT (-78.46 42.54)
Industrial,NY0279781,NEW SPS CROSSFOLDS LLC,Ground,0.03,360 MORELAND RD,COMMACK,NY,USA,11725,40.81,-73.27,"(40.81, -73.27)",POINT (-73.27 40.81)
Industrial,NY0259616,LUCKY PETROLEUM,Ground,0.00,4131 ST RTE 28,BOICEVILLE,NY,USA,12412,42.01,-74.27,"(42.01, -74.27)",POINT (-74.27 42.01)
Municipal,NY0109584,NORTH CASTLE S D 2 STP,Surface,0.50,15 BUSINESS PARK DR,ARMONK,NY,USA,10504,41.12,-73.71,"(41.12, -73.71)",POINT (-73.71 41.12)
Industrial,NY0200778,CON ED-EAST 60TH STREET STEAM PLANT,Surface,,514 E 60TH ST,NEW YORK,NY,USA,10022,40.76,-73.96,"(40.76, -73.96)",POINT (-73.96 40.76)
Industrial,NY0108898,NATIONAL GRID BRENTWOOD OPERATING CENTER,Ground,0.02,1650 ISLIP AVE,BRENTWOOD,NY,USA,11717,40.78,-73.22,"(40.78, -73.22)",POINT (-73.22 40.78)
Industrial,NY0266701,ECHO WASH RITE LAUNDROMAT,Ground,,249 ECHO AVE,SOUND BEACH,NY,USA,11789,40.95,-72.99,"(40.95, -72.99)",POINT (-72.99 40.95)
